real,predict,a,b,c,d
0.0,0.0,a5,b17,c5,d1
0.0,0.0,a5,b17,c5,d4
0.0,0.0,a5,b17,c5,d9
0.0,0.0,a5,b17,c5,d5
0.0,0.0,a5,b17,c5,d3
0.0,0.0,a5,b17,c5,d10
0.0,0.0,a5,b17,c5,d6
0.0,0.0,a5,b17,c5,d7
0.0,0.0,a5,b17,c5,d2
0.0,0.0,a5,b17,c5,d8
0.0,0.0,a5,b17,c6,d1
0.0,0.0,a5,b17,c6,d4
0.0,0.0,a5,b17,c6,d9
0.0,0.0,a5,b17,c6,d5
0.0,0.0,a5,b17,c6,d3
0.0,0.0,a5,b17,c6,d10
0.0,0.0,a5,b17,c6,d6
0.0,0.0,a5,b17,c6,d7
0.0,0.0,a5,b17,c6,d2
0.0,0.0,a5,b17,c6,d8
2.797578207795998,2.815,a5,b17,c1,d1
2.8442605657417035,2.8325,a5,b17,c1,d4
0.0,0.0,a5,b17,c1,d9
1.3145429672546591,1.3250000000000002,a5,b17,c1,d5
2.829611523780489,2.8200000000000003,a5,b17,c1,d3
2.1317515795395283,2.1500000000000004,a5,b17,c1,d10
1.3138692606859461,1.3225,a5,b17,c1,d6
1.3130302850583384,1.3225000000000002,a5,b17,c1,d7
1.3412921938715852,1.3375,a5,b17,c1,d2
1.2945273358863627,1.3175,a5,b17,c1,d8
0.2601762268764476,0.265,a5,b17,c3,d1
0.2598799287243246,0.265,a5,b17,c3,d4
0.0,0.0,a5,b17,c3,d9
0.709090490549842,0.7124999999999999,a5,b17,c3,d5
0.2650012690869684,0.2625,a5,b17,c3,d3
0.8112091879623434,0.8049999999999999,a5,b17,c3,d10
0.7039363507264482,0.705,a5,b17,c3,d6
0.0,0.0,a5,b17,c3,d7
0.7010651428301825,0.71,a5,b17,c3,d2
0.0,0.0,a5,b17,c3,d8
0.0,0.0,a5,b17,c7,d1
0.0,0.0,a5,b17,c7,d4
0.0,0.0,a5,b17,c7,d9
0.0,0.0,a5,b17,c7,d5
0.0,0.0,a5,b17,c7,d3
0.0,0.0,a5,b17,c7,d10
0.0,0.0,a5,b17,c7,d6
0.0,0.0,a5,b17,c7,d7
0.0,0.0,a5,b17,c7,d2
0.0,0.0,a5,b17,c7,d8
0.0,0.0,a5,b17,c8,d1
0.0,0.0,a5,b17,c8,d4
0.0,0.0,a5,b17,c8,d9
0.0,0.0,a5,b17,c8,d5
0.0,0.0,a5,b17,c8,d3
0.0,0.0,a5,b17,c8,d10
0.0,0.0,a5,b17,c8,d6
0.0,0.0,a5,b17,c8,d7
0.0,0.0,a5,b17,c8,d2
0.0,0.0,a5,b17,c8,d8
0.0,0.0,a5,b17,c9,d1
0.0,0.0,a5,b17,c9,d4
0.0,0.0,a5,b17,c9,d9
0.0,0.0,a5,b17,c9,d5
0.0,0.0,a5,b17,c9,d3
0.0,0.0,a5,b17,c9,d10
0.0,0.0,a5,b17,c9,d6
0.0,0.0,a5,b17,c9,d7
0.0,0.0,a5,b17,c9,d2
0.0,0.0,a5,b17,c9,d8
0.8586646723377714,0.8624999999999999,a5,b17,c4,d1
0.8497865529423025,0.86,a5,b17,c4,d4
0.0,0.0,a5,b17,c4,d9
1.1165052411531813,1.1,a5,b17,c4,d5
0.8633536754998427,0.865,a5,b17,c4,d3
0.5965861035957349,0.6,a5,b17,c4,d10
1.1005587450833816,1.0950000000000002,a5,b17,c4,d6
0.4995170915421634,0.5,a5,b17,c4,d7
1.0891920418324794,1.0875,a5,b17,c4,d2
0.5100512651386511,0.5025,a5,b17,c4,d8
764.8337051983752,763.34,a5,b17,c2,d1
742.6744404502533,747.9699999999997,a5,b17,c2,d4
0.0,0.0,a5,b17,c2,d9
41.72678085977036,41.625,a5,b17,c2,d5
751.8230634674595,752.955,a5,b17,c2,d3
17.883140252014446,17.7575,a5,b17,c2,d10
40.512106517732356,41.6075,a5,b17,c2,d6
