real,predict,a,b,c,d
0.0,0.0,a5,b17,c5,d1
0.0,0.0,a5,b17,c5,d4
0.0,0.0,a5,b17,c5,d9
0.0,0.0,a5,b17,c5,d5
0.0,0.0,a5,b17,c5,d3
0.0,0.0,a5,b17,c5,d10
0.0,0.0,a5,b17,c5,d6
0.0,0.0,a5,b17,c5,d7
0.0,0.0,a5,b17,c5,d2
0.0,0.0,a5,b17,c5,d8
0.0,0.0,a5,b17,c6,d1
0.0,0.0,a5,b17,c6,d4
0.0,0.0,a5,b17,c6,d9
0.0,0.0,a5,b17,c6,d5
0.0,0.0,a5,b17,c6,d3
0.0,0.0,a5,b17,c6,d10
0.0,0.0,a5,b17,c6,d6
0.0,0.0,a5,b17,c6,d7
0.0,0.0,a5,b17,c6,d2
0.0,0.0,a5,b17,c6,d8
2.3007412068375923,2.285,a5,b17,c1,d1
2.2551519764744947,2.2625,a5,b17,c1,d4
0.0,0.0,a5,b17,c1,d9
7.8565303217187905,7.8000000000000025,a5,b17,c1,d5
2.3171581418685685,2.29,a5,b17,c1,d3
4.33649061679653,4.3450000000000015,a5,b17,c1,d10
7.751428046663848,7.6774999999999975,a5,b17,c1,d6
2.0879712943946904,2.08,a5,b17,c1,d7
7.745100171480093,7.814999999999999,a5,b17,c1,d2
2.098230842530505,2.0825,a5,b17,c1,d8
0.2327616536748477,0.23,a5,b17,c3,d1
0.23245433624335915,0.2275,a5,b17,c3,d4
0.0,0.0,a5,b17,c3,d9
0.9251543679322364,0.9225,a5,b17,c3,d5
0.2298858396389325,0.23,a5,b17,c3,d3
0.7535461121350696,0.7525,a5,b17,c3,d10
0.9210227425086588,0.915,a5,b17,c3,d6
0.0,0.0,a5,b17,c3,d7
0.9083492528850868,0.91,a5,b17,c3,d2
0.0,0.0,a5,b17,c3,d8
0.0,0.0,a5,b17,c7,d1
0.0,0.0,a5,b17,c7,d4
0.0,0.0,a5,b17,c7,d9
0.0,0.0,a5,b17,c7,d5
0.0,0.0,a5,b17,c7,d3
0.0,0.0,a5,b17,c7,d10
0.0,0.0,a5,b17,c7,d6
0.0,0.0,a5,b17,c7,d7
0.0,0.0,a5,b17,c7,d2
0.0,0.0,a5,b17,c7,d8
0.0,0.0,a5,b17,c8,d1
0.0,0.0,a5,b17,c8,d4
0.0,0.0,a5,b17,c8,d9
0.0,0.0,a5,b17,c8,d5
0.0,0.0,a5,b17,c8,d3
0.0,0.0,a5,b17,c8,d10
0.0,0.0,a5,b17,c8,d6
0.0,0.0,a5,b17,c8,d7
0.0,0.0,a5,b17,c8,d2
0.0,0.0,a5,b17,c8,d8
0.0,0.0,a5,b17,c9,d1
0.0,0.0,a5,b17,c9,d4
0.0,0.0,a5,b17,c9,d9
0.0,0.0,a5,b17,c9,d5
0.0,0.0,a5,b17,c9,d3
0.0,0.0,a5,b17,c9,d10
0.0,0.0,a5,b17,c9,d6
0.0,0.0,a5,b17,c9,d7
0.0,0.0,a5,b17,c9,d2
0.0,0.0,a5,b17,c9,d8
0.6704241189653084,0.675,a5,b17,c4,d1
0.6841622007239796,0.6725000000000001,a5,b17,c4,d4
0.0,0.0,a5,b17,c4,d9
0.624628427675648,0.6375000000000001,a5,b17,c4,d5
0.6693627450466129,0.67,a5,b17,c4,d3
0.7490782421717509,0.75,a5,b17,c4,d10
0.6371405270460931,0.64,a5,b17,c4,d6
0.5356293557038019,0.53,a5,b17,c4,d7
0.6426438489687192,0.64,a5,b17,c4,d2
0.5272124252788504,0.5275000000000001,a5,b17,c4,d8
752.6658962641534,763.95,a5,b17,c2,d1
762.8044721624185,764.6475,a5,b17,c2,d4
0.0,0.0,a5,b17,c2,d9
45.325771667971495,45.19000000000001,a5,b17,c2,d5
756.9342772037637,762.1725,a5,b17,c2,d3
16.048091355468394,16.05,a5,b17,c2,d10
45.356911285790154,45.18,a5,b17,c2,d6
