real,predict,a,b,c,d
0.0,0.0,a5,b17,c5,d1
0.0,0.0,a5,b17,c5,d4
0.0,0.0,a5,b17,c5,d9
0.0,0.0,a5,b17,c5,d5
0.0,0.0,a5,b17,c5,d3
0.0,0.0,a5,b17,c5,d10
0.0,0.0,a5,b17,c5,d6
0.0,0.0,a5,b17,c5,d7
0.0,0.0,a5,b17,c5,d2
0.0,0.0,a5,b17,c5,d8
0.0,0.0,a5,b17,c6,d1
0.0,0.0,a5,b17,c6,d4
0.0,0.0,a5,b17,c6,d9
0.0,0.0,a5,b17,c6,d5
0.0,0.0,a5,b17,c6,d3
0.0,0.0,a5,b17,c6,d10
0.0,0.0,a5,b17,c6,d6
0.0,0.0,a5,b17,c6,d7
0.0,0.0,a5,b17,c6,d2
0.0,0.0,a5,b17,c6,d8
1.7601676200518543,1.7375,a5,b17,c1,d1
1.7848338034818794,1.7625000000000002,a5,b17,c1,d4
0.0,0.0,a5,b17,c1,d9
1.0015187160518182,1.0,a5,b17,c1,d5
1.7297575911375433,1.7475,a5,b17,c1,d3
1.97875135140506,2.0,a5,b17,c1,d10
1.4466346826688334,1.42,a5,b17,c1,d6
1.3757415892496732,1.4049999999999998,a5,b17,c1,d7
1.3919270431594335,1.41,a5,b17,c1,d2
1.3877249197867638,1.4049999999999998,a5,b17,c1,d8
0.2203643140465948,0.22,a5,b17,c3,d1
0.2201351885663156,0.22,a5,b17,c3,d4
0.0,0.0,a5,b17,c3,d9
1.0090966663116572,1.0,a5,b17,c3,d5
0.22020857474919464,0.22,a5,b17,c3,d3
0.9806483516649996,1.0,a5,b17,c3,d10
0.8889017405787976,0.9025,a5,b17,c3,d6
0.0,0.0,a5,b17,c3,d7
0.8903865930372992,0.9075,a5,b17,c3,d2
0.0,0.0,a5,b17,c3,d8
0.0,0.0,a5,b17,c7,d1
0.0,0.0,a5,b17,c7,d4
0.0,0.0,a5,b17,c7,d9
0.0,0.0,a5,b17,c7,d5
0.0,0.0,a5,b17,c7,d3
0.0,0.0,a5,b17,c7,d10
0.0,0.0,a5,b17,c7,d6
0.0,0.0,a5,b17,c7,d7
0.0,0.0,a5,b17,c7,d2
0.0,0.0,a5,b17,c7,d8
0.0,0.0,a5,b17,c8,d1
0.0,0.0,a5,b17,c8,d4
0.0,0.0,a5,b17,c8,d9
0.0,0.0,a5,b17,c8,d5
0.0,0.0,a5,b17,c8,d3
0.0,0.0,a5,b17,c8,d10
0.0,0.0,a5,b17,c8,d6
0.0,0.0,a5,b17,c8,d7
0.0,0.0,a5,b17,c8,d2
0.0,0.0,a5,b17,c8,d8
0.0,0.0,a5,b17,c9,d1
0.0,0.0,a5,b17,c9,d4
0.0,0.0,a5,b17,c9,d9
0.0,0.0,a5,b17,c9,d5
0.0,0.0,a5,b17,c9,d3
0.0,0.0,a5,b17,c9,d10
0.0,0.0,a5,b17,c9,d6
0.0,0.0,a5,b17,c9,d7
0.0,0.0,a5,b17,c9,d2
0.0,0.0,a5,b17,c9,d8
0.6352269171271826,0.6375000000000001,a5,b17,c4,d1
0.6364084212970039,0.63,a5,b17,c4,d4
0.0,0.0,a5,b17,c4,d9
0.0,1.0,a5,b17,c4,d5
0.626952923650547,0.635,a5,b17,c4,d3
0.9968570550228574,1.0,a5,b17,c4,d10
0.5745997527766568,0.57,a5,b17,c4,d6
0.5506226554424817,0.55,a5,b17,c4,d7
0.5649024332641237,0.57,a5,b17,c4,d2
0.5422661081644067,0.55,a5,b17,c4,d8
752.6797089428013,743.6475,a5,b17,c2,d1
725.1944428432517,744.8625,a5,b17,c2,d4
0.0,0.0,a5,b17,c2,d9
58.06415327902118,95.0,a5,b17,c2,d5
747.5050774829118,738.6325,a5,b17,c2,d3
35.695299262547366,36.0,a5,b17,c2,d10
93.54142848802776,94.9675,a5,b17,c2,d6
734.3032342751428,736.76,a5,b17,c2,d7
