real,predict,a,b,c,d
0.0,0.0,a5,b17,c5,d1
0.0,0.0,a5,b17,c5,d4
0.0,0.0,a5,b17,c5,d9
0.0,0.0,a5,b17,c5,d5
0.0,0.0,a5,b17,c5,d3
0.0,0.0,a5,b17,c5,d10
0.0,0.0,a5,b17,c5,d6
0.0,0.0,a5,b17,c5,d7
0.0,0.0,a5,b17,c5,d2
0.0,0.0,a5,b17,c5,d8
0.0,0.0,a5,b17,c6,d1
0.0,0.0,a5,b17,c6,d4
0.0,0.0,a5,b17,c6,d9
0.0,0.0,a5,b17,c6,d5
0.0,0.0,a5,b17,c6,d3
0.0,0.0,a5,b17,c6,d10
0.0,0.0,a5,b17,c6,d6
0.0,0.0,a5,b17,c6,d7
0.0,0.0,a5,b17,c6,d2
0.0,0.0,a5,b17,c6,d8
1.468774932854258,1.4575,a5,b17,c1,d1
1.4718262308963894,1.475,a5,b17,c1,d4
0.0,0.0,a5,b17,c1,d9
1.065742328212291,1.0725000000000002,a5,b17,c1,d5
1.45157509862595,1.45,a5,b17,c1,d3
1.3638529631425271,1.3525,a5,b17,c1,d10
1.0495470248253336,1.065,a5,b17,c1,d6
1.2636173912625546,1.2625,a5,b17,c1,d7
1.0480025538439297,1.05,a5,b17,c1,d2
1.26315662286951,1.26,a5,b17,c1,d8
0.21247482507191853,0.21,a5,b17,c3,d1
0.20989178455707452,0.21,a5,b17,c3,d4
0.0,0.0,a5,b17,c3,d9
0.8831839586750211,0.89,a5,b17,c3,d5
0.21060405518136704,0.21,a5,b17,c3,d3
0.7462697195049173,0.7375,a5,b17,c3,d10
0.8770063120750262,0.885,a5,b17,c3,d6
0.0,0.0,a5,b17,c3,d7
0.8896107144424475,0.89,a5,b17,c3,d2
0.0,0.0,a5,b17,c3,d8
0.0,0.0,a5,b17,c7,d1
0.0,0.0,a5,b17,c7,d4
0.0,0.0,a5,b17,c7,d9
0.0,0.0,a5,b17,c7,d5
0.0,0.0,a5,b17,c7,d3
0.0,0.0,a5,b17,c7,d10
0.0,0.0,a5,b17,c7,d6
0.0,0.0,a5,b17,c7,d7
0.0,0.0,a5,b17,c7,d2
0.0,0.0,a5,b17,c7,d8
0.0,0.0,a5,b17,c8,d1
0.0,0.0,a5,b17,c8,d4
0.0,0.0,a5,b17,c8,d9
0.0,0.0,a5,b17,c8,d5
0.0,0.0,a5,b17,c8,d3
0.0,0.0,a5,b17,c8,d10
0.0,0.0,a5,b17,c8,d6
0.0,0.0,a5,b17,c8,d7
0.0,0.0,a5,b17,c8,d2
0.0,0.0,a5,b17,c8,d8
0.0,0.0,a5,b17,c9,d1
0.0,0.0,a5,b17,c9,d4
0.0,0.0,a5,b17,c9,d9
0.0,0.0,a5,b17,c9,d5
0.0,0.0,a5,b17,c9,d3
0.0,0.0,a5,b17,c9,d10
0.0,0.0,a5,b17,c9,d6
0.0,0.0,a5,b17,c9,d7
0.0,0.0,a5,b17,c9,d2
0.0,0.0,a5,b17,c9,d8
0.593488463175583,0.5974999999999999,a5,b17,c4,d1
0.5976023580276458,0.5924999999999999,a5,b17,c4,d4
0.0,0.0,a5,b17,c4,d9
0.7343017441430215,0.7375,a5,b17,c4,d5
0.5884448764145366,0.595,a5,b17,c4,d3
0.7415073689851759,0.7424999999999999,a5,b17,c4,d10
0.7511533041129316,0.74,a5,b17,c4,d6
0.5729520417309247,0.5675,a5,b17,c4,d7
0.7340339421060769,0.7350000000000001,a5,b17,c4,d2
0.5728401562676599,0.57,a5,b17,c4,d8
768.410087439423,768.415,a5,b17,c2,d1
778.5139508916367,768.295,a5,b17,c2,d4
0.0,0.0,a5,b17,c2,d9
66.46748171968107,67.13,a5,b17,c2,d5
767.7566542382377,764.0925,a5,b17,c2,d3
35.18259085204378,34.97,a5,b17,c2,d10
65.71176766236356,66.2225,a5,b17,c2,d6
765.896353607079,768.0525,a5,b17,c2,d7
