normal_predict_amount,normal_predict_error,set,significance,timestamp
9026374.725,70728.65805736487,b=b19&c=c8&d=d7,0.0015589154708253769,1451019300
3044087.8350000004,25811.98033786461,a=a3&c=c3&d=d7,0.00015965220723423206,1450910100
9943224.7925,79825.72435350422,a=a2&b=b15&c=c3,4.891755625324692e-05,1451220600
9414775.6325,77177.74988206434,a=a3&c=c5&d=d8,0.00017106532416373638,1451197140
11245496.4525,87180.52790020169,a=a4&b=b6&d=d8,0.000509266793511246,1450769700
9007285.1825,75658.31923978173,a=a5&b=b30&c=c1,0.00013335370960090832,1451098320
10308566.1475,81984.94377673874,b=b31&c=c4&d=d2,0.0003175829874354635,1450697700
9625315.7075,76777.64083002711,b=b6&c=c4&d=d8,0.00035123026007616526,1451043300
9366429.7275,72160.36058204874,a=a2&c=c1&d=d6,0.0018607309002874734,1450760100
10915891.11,81059.77352639835,b=b13&c=c1&d=d2,0.002454028999012548,1450939200
3942307.9275,31218.735529847865,a=a4&b=b16&d=d5,0.00021785412009144023,1450976700
9555319.385000002,74367.88635686318,a=a3&c=c2&d=d8,0.0010056037102238533,1451201640
9383783.6975,74499.8839056067,b=b4&c=c4&d=d3,0.0021678692193144665,1451199000
8835076.9675,71488.3438520921,a=a6&b=b5&d=d6,0.0001148185633324144,1451040000
2488276.955,19072.78347047241,a=a3&c=c2&d=d3,0.001687336077804067,1450821000
9488056.07,73312.46831741369,a=a4&b=b6&d=d2,0.00021591105160477509,1451110500
9140458.1825,70499.47129145009,a=a4&b=b9&d=d8,0.00044037449621854276,1451195100
9457307.5775,77452.50171005388,a=a4&b=b9&c=c8,0.0003314326621488696,1451042400
8961762.3675,72817.94986161456,a=a2&c=c4&d=d3,0.01299209651862385,1451194500
2433368.9050000003,20295.401706827277,a=a4&b=b12&c=c7,7.304869389810892e-05,1450992300
10730769.2525,85378.00430253857,b=b6&c=c3&d=d2,0.00023045332353479667,1450851600
9187953.1825,70454.56504985676,a=a6&b=b28&c=c4,3.8116612155948306e-05,1451207400
10823087.345,86132.20569423593,a=a2&c=c2&d=d8,0.0003793121224460783,1450765200
2654470.5475,21687.073585578466,a=a5&b=b10&d=d6,0.00015828049142895976,1451168100
8817946.7575,67218.56249042989,a=a1&b=b2&c=c3,0.0006381838249499611,1451038740
9548097.0125,75824.87437079534,a=a2&c=c4&d=d5,0.011073028985021676,1451225100
10102002.0925,80817.85413197071,a=a4&b=b8&c=c8,0.0049236424935819225,1450962000
11074596.225,84368.16454400038,a=a4&b=b16&c=c7,0.00011293387203169243,1450926600
