normal_predict_amount,normal_predict_error,set,significance,timestamp
8985765.75,70761.14433217004,b=b10&c=c4;a=a2&b=b12,0.005007506274770734,1451019300
2939014.0225,23852.883931104858,c=c2&d=d6;a=a2&d=d6,0.019469682646022446,1450910100
9731763.3475,72826.35005754759,a=a6&b=b23;a=a2&d=d2,0.017227681973126692,1451220600
9187756.285,77060.91222781855,a=a6&c=c5;a=a2&d=d8,0.017625348577113096,1451197140
11170246.4025,95169.50341825048,a=a4&b=b13;b=b14&c=c8,0.007137760707280248,1450769700
8869573.7075,70099.49618751128,b=b21&d=d1;a=a4&b=b10,0.009131048118720259,1451098320
9563126.5225,75035.08350354162,a=a5&c=c1;b=b26&d=d8,0.057090116795980674,1450697700
9545962.4725,81984.19502543156,a=a4&b=b7;c=c2&d=d10,0.005714152512709976,1451043300
9042309.11,67714.75915539029,a=a4&c=c2;a=a1&d=d1,0.024089650445864856,1450760100
10914838.4725,87437.21968957313,b=b29&c=c1;b=b6&d=d3,0.0022955088639589425,1450939200
3771448.6975,28858.402946035265,a=a4&c=c8;a=a3&d=d7,0.034915084817012464,1450976700
9121364.53,73727.07495968303,c=c1&d=d10;a=a4&d=d7,0.034218250224343064,1451201640
9197688.3275,74520.36179906016,b=b8&d=d6;a=a6&b=b2,0.016118881226357542,1451199000
8221236.805,63860.83297594867,c=c1&d=d4;b=b26&d=d10,0.04206247581108955,1451040000
2387523.3625,18962.394984464703,b=b19&d=d5;a=a2&c=c1,0.028775894780905587,1450821000
9242565.915,71565.26225837349,c=c4&d=d2;a=a5&d=d6,0.022019148665751432,1451110500
8779427.345,73187.03272495327,a=a2&b=b30;a=a2&d=d2,0.0300125504406107,1451195100
9209350.025,76438.43750188425,a=a2&d=d3;a=a4&b=b12,0.01118540324692601,1451042400
8800927.2025,69417.58692788468,a=a4&b=b30;a=a6&d=d4,0.03327899496185073,1451194500
2424234.6275,19264.146136555897,b=b31&c=c6;b=b26&c=c3,0.00382646087048708,1450992300
10385616.5,83577.48139318342,a=a3&c=c4;a=a4&c=c5,0.02628326312165425,1450851600
9156161.58,75708.51024107845,a=a6&c=c5;b=b1&c=c6,0.0027408743917656537,1451207400
10768456.6025,86795.63081717712,a=a1&c=c6;a=a4&d=d10,0.0045823351981065606,1450765200
2589056.6175,20600.156232918765,c=c5&d=d2;c=c4&d=d7,0.01157721201330013,1451168100
8655326.3375,68321.0204813546,a=a4&d=d6;c=c8&d=d7,0.008824571502780971,1451038740
9566911.415,80278.88045768486,b=b21&c=c1;a=a6&c=c3,0.007616555203465976,1451225100
