normal_predict_amount,normal_predict_error,set,significance,timestamp
8996083.77,71841.45449357653,a=a5&c=c2,0.004910229369589636,1451019300
2771231.1925,22637.559819544203,a=a1&c=c1,0.05399759976904059,1450910100
9889779.53,79543.05044759103,c=c8&d=d3,0.005435750868106446,1451220600
9266685.51,75733.8286521039,c=c1&d=d10,0.009564006703596795,1451197140
11116052.6525,90817.4915000048,a=a1&d=d5,0.009611311173899108,1450769700
8987573.5,68558.98289392938,c=c7&d=d3,0.0014462133086640008,1451098320
10287714.4075,82258.13768990335,c=c2&d=d10,0.0023392305412472635,1450697700
9453028.1075,73261.52153968447,a=a3&d=d7,0.01824436575316109,1451043300
9337707.9675,75046.56598648656,a=a1&d=d10,0.003230741932872415,1450760100
10953432.7925,88648.23791217581,b=b35&c=c4,0.0005325487604932691,1450939200
3862076.41,31080.294759112618,a=a1&d=d5,0.008247372459176425,1450976700
9523026.2225,81500.55510164988,b=b2&d=d4,0.0035053781039468927,1451201640
9398521.3925,76071.53573344793,c=c6&d=d6,0.000914937306641564,1451199000
8812700.545,68052.57467533751,b=b5&d=d3,0.0015882906971398973,1451040000
2494840.57,19128.207491617708,a=a6&c=c6,0.0015890304654879294,1450821000
9241832.3375,76299.69747740339,a=a6&d=d4,0.026300779292078413,1451110500
9066607.2575,72517.99222245067,a=a2&b=b7,0.005502889349591407,1451195100
9348310.27,75994.08587406759,a=a6&b=b9,0.007111685658189176,1451042400
9149871.0975,71323.08987128086,a=a1&b=b7,0.0008937939447009412,1451194500
2422936.6325,19667.23410086305,c=c3&d=d8,0.0017876088240922222,1450992300
10430089.125,84266.7708097444,a=a6&d=d7,0.028300593407933262,1450851600
9019152.7075,72822.82947134605,b=b11&c=c3,0.018465473613196788,1451207400
10556775.2525,83476.91486766074,a=a1&d=d3,0.010027373180812694,1450765200
2593294.2625,20817.716877709794,c=c2&d=d1,0.02324091358473915,1451168100
8777285.035,70466.43467783177,b=b35&c=c1,0.004957992503695957,1451038740
9477030.91,76263.88018847245,a=a6&c=c2,0.018433354040270904,1451225100
10092458.09,82794.34922518513,b=b30&d=d2,0.002837401365079906,1450962000
10755937.685,81714.79737622975,a=a3&c=c4,0.017373980942380036,1450926600
8563557.260000002,67999.75410768703,a=a1&b=b14,0.006269410022624675,1451124900
10958591.6675,93844.38900820044,a=a4&b=b27,0.005399588693947447,1450857000
8782056.7375,68732.42305267749,a=a3&b=b15,0.000856395177004485,1450843800
9231543.845,72071.56890948601,c=c7&d=d4,0.0009506174452971564,1451109300
11178695.37,90334.99997175836,b=b31&d=d8,0.0073358797113781075,1450682040
11014576.9325,93237.1743992032,a=a3&c=c2,0.009531126651981364,1450943160
8439947.2975,67295.74396587486,a=a1&b=b21,0.0005973580114190717,1451188800
10601377.3775,88388.89081518342,b=b2&d=d1,0.0018229899281629086,1451031000
9154585.8275,70744.39696197207,a=a3&c=c4,0.015019864770413444,1451202300
2399420.2125,19638.8027144895,a=a5&d=d10,0.0015264249780202902,1451079000
8403792.65,67118.03734574081,b=b21&d=d2,0.0005804413045178874,1451190000
10779967.4775,86887.68526994389,c=c7&d=d6,0.0009654024146887582,1450873800
2839294.7025,21908.039798136724,a=a1&c=c2,0.010694992884414856,1450736700
9470780.685,78713.32641911911,c=c5&d=d3,0.0008464698992401878,1451020800
10767447.09,90037.11297433294,a=a1&d=d1,0.014733619354033325,1450924800
10690125.46,83212.99776177267,b=b27&d=d2,0.0014882063859301732,1450876800
10202315.2,78483.22955182756,a=a6&d=d2,0.007819977152630202,1451025000
3046559.68,25277.172853211934,a=a2&d=d6,0.02251678878205721,1450911300
8607003.935,65424.211320500486,b=b31&c=c5,0.00028804220214365253,1451211600
9380617.4,74042.7297910731,a=a3&d=d1,0.009490536667008236,1451200800
8471885.645,70180.35496116469,c=c7&d=d1,0.0014120156556064974,1451103900
