normal_predict_amount,normal_predict_error,set,significance,timestamp
6441286.79,52344.302325556106,a=a6;d=d2;a=a6,0.40015420554799824,1451019300
2179848.22,17940.694600999843,d=d6;c=c7;c=c2,0.20854248365575234,1450910100
8388879.6725,67782.35704792131,b=b11;b=b20;b=b14,0.1176530851344345,1451220600
5985092.495,46834.8430514964,a=a2;a=a2;a=a6,0.36442159140843705,1451197140
3604455.0225,29453.1886052064,a=a2;c=c1;b=b7,0.4957849927722923,1450769700
7766110.86,62121.102172857245,b=b27;d=d10;d=d5,0.09907771831718892,1451098320
8591746.110000001,68562.13091695642,d=d2;c=c2;b=b1,0.12118585039411595,1450697700
8501822.2675,65154.2762764487,b=b20;a=a5;a=a5,0.1389429011875498,1451043300
4939287.7025000015,35335.312295333424,a=a6;d=d4;a=a2,0.4081816429051864,1450760100
9034683.54,73330.65181639747,b=b13;b=b4;a=a5,0.09700788174252103,1450939200
2426879.8125,19473.99371360203,b=b20;a=a2;a=a6,0.3049315754413869,1450976700
7091569.25,55229.044435788026,b=b12;a=a1;a=a5,0.2074026046823184,1451201640
7101251.515,59792.636721940675,b=b25;c=c8;a=a6,0.18194256569284054,1451199000
4701458.5600000005,38392.96163531273,c=c3;d=d8;c=c4,0.3855074091277454,1451040000
1760299.5075,14142.128790969446,d=d1;c=c3;d=d5,0.19616195209349865,1450821000
7047647.835000001,53265.25325648247,b=b15;a=a1;d=d5,0.2362421639856571,1451110500
6108743.3825,48131.04182865616,d=d1;a=a6;b=b4,0.2684027561520157,1451195100
8006040.982499999,62109.56349695992,b=b16;b=b26;b=b8,0.11355053734094407,1451042400
7334137.252499999,57820.819012047585,b=b5;a=a3;b=b22,0.19214576207555065,1451194500
1112429.2225,8823.91948640803,a=a1;d=d3;a=a6,0.3934801557749185,1450992300
8364718.745,65408.945816992855,b=b16;d=d3;b=b30,0.1748798748637007,1450851600
4229355.685,34920.21570053152,c=c4;a=a4;a=a5,0.3281579040217321,1451207400
8070378.0525,63708.69321666808,b=b20;c=c3;a=a4,0.1946720427049132,1450765200
1977620.32,14449.18238508397,d=d3;b=b1;a=a2,0.24029724334211786,1451168100
7524427.9775,58236.83290554233,b=b12;d=d6;b=b24,0.13443565958336634,1451038740
5900251.7775,44674.68353684933,a=a2;d=d8;c=c3,0.3290536736537437,1451225100
4600007.815,37628.60585771399,d=d4;b=b34;c=c1,0.275709202117024,1450962000
9500441.7525,76247.87443260782,d=d10;a=a5;b=b22,0.08589466144838341,1450926600
5855449.442500001,46491.71262441183,c=c2;c=c3;d=d4,0.194708683105161,1451124900
9051157.66,66740.54362983878,b=b12;d=d2;c=c3,0.12206011140716234,1450857000
4852758.645,41283.499448272254,b=b8;c=c4;d=d7,0.32959045109349283,1450843800
7683975.5525,62875.179828457054,a=a5;b=b13;c=c8,0.13422992219928911,1451109300
6390903.615,53614.25612637206,d=d7;d=d8;a=a4,0.3298471889620688,1450682040
9423535.8525,75490.85897698898,b=b26;c=c2;b=b10,0.0833799565918621,1450943160
8062474.512500001,66692.55547201862,b=b16;b=b3;b=b15,0.02597490220578895,1451188800
7820032.370000001,61464.13209112665,d=d6;c=c5;a=a6,0.16548151926268292,1451031000
6714120.9,50661.52925202702,a=a1;d=d3;b=b27,0.2530258098585453,1451202300
1383673.5675,11245.300481931416,d=d6;a=a4;a=a3,0.2838180603665252,1451079000
5919150.7775,46033.369731699466,c=c7;a=a6;a=a5,0.2522952582161316,1451190000
7868217.385,64848.505736436164,d=d3;b=b10;b=b11,0.17593163258104713,1450873800
2143576.7975000003,16308.174158521435,b=b31;d=d4;d=d5,0.2316529148751689,1450736700
6877755.8275,55469.020561669684,b=b21;a=a4;d=d2,0.2392555454737393,1451020800
9188091.415,70283.360591312,d=d6;b=b11;d=d10,0.13200082862055013,1450924800
7234272.97,58151.49356428626,a=a4;c=c2;c=c3,0.35796725236150617,1450876800
7606313.085000001,57385.28886450949,a=a1;d=d5;c=c2,0.2359326615205543,1451025000
2247506.37,16317.758604539593,c=c2;b=b2;d=d3,0.20231626915113315,1450911300
5548713.9725,42441.45853836082,d=d10;d=d4;a=a4,0.2750505528895514,1451211600
6401331.1724999985,51398.19274227394,d=d6;d=d2;a=a6,0.2833482517714005,1451200800
7055323.810000001,59626.00511825738,c=c8;d=d7;c=c7,0.09284648023496198,1451103900
6387831.7425,49844.596708704834,d=d8;d=d1;a=a5,0.25908070123675475,1451022300
9393093.565,79086.30411688899,d=d10;d=d8;d=d10,0.12533113848376154,1450685460
2282134.9450000003,17413.06152487021,c=c4;d=d6;b=b25,0.14784900272569532,1450894200
7067430.3575,53269.27921643555,d=d6;d=d4;b=b1,0.1890759274164146,1451198400
6256221.785,51509.34453311115,d=d4;b=b16;a=a3,0.24122618328331466,1451097900
5789377.227500001,45143.69316785932,a=a2;d=d8;d=d3,0.27424205753950376,1450846200
4712523.7575,37932.460469388796,c=c4;d=d3;c=c3,0.4013436516640254,1450757400
7053644.59,51317.51617770229,c=c7;c=c4;d=d8,0.33797114364689,1450752600
3076730.1675,24180.25583387578,a=a5;a=a4;b=b27,0.21660376973024148,1451149500
2309331.5225,17755.72928175369,d=d6;d=d10;b=b13,0.16610612846900227,1450824000
7564997.595000002,61887.913675696036,d=d8;d=d6;a=a5,0.1689169346278412,1450870500
1782174.27,12986.699468909306,a=a1;c=c5;a=a3,0.28936386107411666,1451170500
8124849.362500002,62814.89086700952,b=b20;d=d10;a=a2,0.18633224045763352,1451030400
6833952.15,52139.5739618378,d=d2;d=d10;d=d8,0.20472761461162028,1451107200
6634092.4425,49095.97803125442,a=a5;a=a6;d=d5,0.31372486321779885,1451134800
7961597.6175,62138.3440006267,a=a3;b=b21;b=b13,0.1360847290514764,1451047800
5487375.532500002,44664.32172791736,c=c3;d=d6;a=a6,0.3319287621626429,1451186100
7707290.540000001,59544.71824208452,d=d4;d=d9;c=c2,0.10272076853049776,1451216700
6397407.045,54253.59437018129,c=c4;a=a1;b=b4,0.33633875535948266,1450871400
4890745.505,37298.20015373334,a=a5;c=c1;b=b7,0.3360177388597965,1451044500
6950180.5125,58357.128149805096,d=d8;b=b8;b=b12,0.2157433634738373,1450779000
5148249.352499999,39851.882154923245,d=d4;a=a6;a=a2,0.3827198805778722,1450936200
7553175.695,60680.95055594534,b=b12;b=b11;c=c6,0.0865823708359895,1451103300
5342556.16,44041.11217209628,c=c4;d=d10;a=a1,0.37237380254053576,1451040600
9650269.245,76732.74926845239,b=b16;a=a5;b=b20,0.08959162856831976,1450684200
7075959.060000001,52662.35459074898,d=d4;d=d8;d=d6,0.19813619035521216,1450925400
2449016.9675,20339.084862101598,d=d10;b=b24;d=d2,0.15356193483932154,1450653900
6239015.0625,48068.509062051446,d=d9;a=a1;d=d3,0.15674635394593572,1451212500
9482799.007499997,76480.57750332361,b=b2;b=b21;b=b24,0.07205602321720578,1450698900
8521644.0075,69487.64848602153,c=c6;d=d4;a=a5,0.14620415984082294,1450768560
8253848.515,70041.57259974947,d=d9;b=b16;c=c4,0.11329145116950112,1450944000
8450924.0525,61356.05801448089,b=b25;b=b10;d=d3,0.20854341017182174,1450667700
7802178.9625,62915.5871631432,d=d6;a=a5;b=b30,0.18211682724923256,1451132400
4361307.8325000005,35354.836903084215,c=c1;b=b14;c=c8,0.33023010133321445,1450692600
3870016.3325,32412.088443812318,c=c1;a=a1;d=d5,0.5910562412876995,1451112600
7674906.9275,62641.87320928793,d=d6;a=a1;a=a5,0.2412040203328219,1450753500
7224522.7525,58101.23956950367,d=d1;d=d4;c=c7,0.17549781638592396,1451046600
7573014.995,62445.13183084838,b=b20;b=b11;d=d5,0.13553343282085326,1451205000
